date,published_datetime,market,size,quality,official_price,market_tone,demand_tone,commodity_comments,source_price,source_slug,mx_truck_seedless_lb,mx_boat_seedless_lb,cb_boat_seedless_lb,pe_boat_seedless_lb,other_seedless_lb,organic_mx_truck_seedless_lb,total_seedless_lb,total_seedless_loads
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,230,#1.5,45.5,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,230,#2,41.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,250,#1,54.5,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,250,#1.5,45.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-03,2026-03-03 16:00:53,US_MCALLEN,250,#2,41.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,110,#1,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,110,#1.5,47.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,110,#2,42.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,150,#1,58.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,150,#1.5,49.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,150,#2,43.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,175,#1,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,175,#1.5,50.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,175,#2,45.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,200,#1,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,200,#1.5,52.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,200,#2,46.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,230,#1,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,230,#1.5,49.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,230,#2,45.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,250,#1,58.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,250,#1.5,49.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-04,2026-03-04 16:24:04,US_MCALLEN,250,#2,45.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,110,#1,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,110,#1.5,50.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,110,#2,45.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,150,#1,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,150,#1.5,50.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,150,#2,45.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,175,#1,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,175,#1.5,51.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,175,#2,46.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,200,#1,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,200,#1.5,53.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,200,#2,48.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,230,#1,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,230,#1.5,51.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,230,#2,46.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,250,#1,59.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,250,#1.5,50.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-05,2026-03-05 17:00:05,US_MCALLEN,250,#2,46.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,110,#1,61.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,110,#1.5,51.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,110,#2,49.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,150,#1,60.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,150,#1.5,52.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,150,#2,48.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,175,#1,61.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,175,#1.5,54.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,175,#2,49.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,200,#1,60.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,200,#1.5,54.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,200,#2,50.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,230,#1,61.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,230,#1.5,53.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,230,#2,48.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,250,#1,60.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,250,#1.5,52.0,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-06,2026-03-06 16:26:02,US_MCALLEN,250,#2,49.5,Slightly Higher,"Fine Appearance Good, others Fairly Good.",Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,110,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,110,#1.5,60.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,110,#2,55.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,150,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,150,#1.5,60.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,150,#2,55.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,175,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,175,#1.5,60.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,175,#2,55.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,200,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,200,#1.5,59.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,200,#2,53.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,230,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,230,#1.5,59.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,230,#2,51.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,250,#1,66.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,250,#1.5,57.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-09,2026-03-09 16:29:32,US_MCALLEN,250,#2,49.0,Higher,MODERATE,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,110,#1,,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,110,#1.5,,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,110,#2,,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,150,#1,,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,150,#1.5,,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,150,#2,,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,175,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,175,#1.5,60.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,175,#2,55.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,200,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,200,#1.5,59.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,200,#2,53.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,230,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,230,#1.5,59.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,230,#2,51.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,250,#1,66.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
2026-03-10,2026-03-10 16:19:05,US_MCALLEN,250,#1.5,57.0,About Steady,GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,USDA,IX_FV110,,,,,,,,
